City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,barrow,71.2906,-156.7887,-23.8,62,90,10.36,US,1612496250
1,qaanaaq,77.484,-69.3632,-17.95,63,74,8.28,GL,1612496370
2,hami,42.8,93.45,35.83,71,0,2.91,CN,1612496370
3,tiksi,71.6872,128.8694,-15.2,90,100,9.8,RU,1612496140
4,tuktoyaktuk,69.4541,-133.0374,-31.0,68,40,10.36,CA,1612496370
5,kisangani,0.5167,25.2,70.68,97,75,2.08,CD,1612496370
6,castro,-24.7911,-50.0119,60.87,89,1,5.17,BR,1612496371
7,diphu,25.8333,93.4333,74.73,41,0,2.37,IN,1612496371
8,kaitangata,-46.2817,169.8464,60.01,71,77,13.0,NZ,1612496128
9,punta arenas,-53.15,-70.9167,48.2,61,75,11.5,CL,1612496371
10,mount gambier,-37.8333,140.7667,71.6,46,75,18.41,AU,1612496372
11,leningradskiy,69.3833,178.4167,-25.89,85,100,11.3,RU,1612496325
12,cabo san lucas,22.8909,-109.9124,73.4,46,20,6.85,MX,1612496332
13,jamestown,42.097,-79.2353,36.0,35,90,12.66,US,1612496244
14,mogadishu,2.0371,45.3438,77.59,78,67,17.72,SO,1612496372
15,hobyo,5.3505,48.5268,76.71,74,74,17.25,SO,1612496373
16,luanda,-8.8368,13.2343,78.8,83,75,3.44,AO,1612496373
17,prainha,-1.8,-53.48,77.31,79,31,5.48,BR,1612496373
18,shenjiamen,29.9576,122.298,52.16,89,98,7.96,CN,1612496373
19,dunedin,-45.8742,170.5036,55.99,70,67,25.99,NZ,1612496373
20,jacqueville,5.2052,-4.4146,82.4,94,20,5.75,CI,1612496374
21,hermanus,-34.4187,19.2345,64.0,91,21,1.01,ZA,1612496374
22,victoria,22.2855,114.1577,69.01,69,32,3.0,HK,1612496374
23,busselton,-33.65,115.3333,73.99,42,1,1.99,AU,1612496283
24,hamilton,39.1834,-84.5333,37.99,93,90,12.66,US,1612496168
25,rankovce,42.1696,22.1162,32.0,93,0,2.8,MK,1612496375
26,belmonte,-15.8631,-38.8828,77.0,83,20,6.91,BR,1612496137
27,airai,-8.9266,125.4092,64.72,100,100,3.47,TL,1612496288
28,kampot,10.6167,104.1833,84.2,61,40,4.61,KH,1612496174
29,olafsvik,64.8945,-23.7142,38.52,79,100,35.81,IS,1612496376
30,khatanga,71.9667,102.5,-30.93,77,0,8.14,RU,1612496376
31,inta,66.0317,60.1659,-2.85,88,100,14.97,RU,1612496376
32,rikitea,-23.1203,-134.9692,78.35,72,100,12.86,PF,1612496224
33,marawi,7.9986,124.2928,81.0,84,58,7.0,PH,1612496207
34,hobart,-42.8794,147.3294,79.0,69,75,17.27,AU,1612496332
35,luganville,-15.5333,167.1667,83.39,71,92,7.54,VU,1612496377
36,atuona,-9.8,-139.0333,78.76,74,3,10.83,PF,1612496377
37,camacha,33.0833,-16.3333,55.4,67,40,16.11,PT,1612496377
38,puerto ayora,-0.7393,-90.3518,77.0,95,35,1.99,EC,1612496225
39,butaritari,3.0707,172.7902,80.83,83,97,13.78,KI,1612496293
40,vigrestad,58.5667,5.7,17.6,53,0,4.61,NO,1612496378
41,vao,-22.6667,167.4833,78.91,88,0,15.08,NC,1612496142
42,tual,-5.6667,132.75,83.41,77,100,25.14,ID,1612496379
43,phan thiet,10.9333,108.1,84.11,52,23,5.97,VN,1612496240
44,tafo,6.7345,-1.6127,73.63,91,9,3.78,GH,1612496379
45,pontalina,-17.525,-49.4472,71.31,88,100,2.44,BR,1612496379
46,codrington,-38.2667,141.9667,70.5,37,26,5.53,AU,1612496135
47,kem,64.9555,34.5793,6.35,94,100,15.28,RU,1612496380
48,lerwick,60.1545,-1.1494,35.6,64,90,20.71,GB,1612496380
49,ilulissat,69.2167,-51.1,3.2,39,40,23.02,GL,1612496228
50,lyuban,52.7985,28.0048,9.0,95,90,9.42,BY,1612496381
51,novoorsk,51.381,58.9813,33.8,100,90,8.95,RU,1612496381
52,yulara,-25.2406,130.9889,68.0,68,90,13.8,AU,1612496083
53,upernavik,72.7868,-56.1549,-4.4,71,99,7.92,GL,1612496305
54,kenitra,34.261,-6.5802,51.8,100,75,5.79,MA,1612496382
55,gat,31.61,34.7642,55.99,100,100,3.78,IL,1612496343
56,copiapo,-27.3667,-70.3333,60.8,82,90,8.05,CL,1612496382
57,mataura,-46.1927,168.8643,75.43,39,81,1.83,NZ,1612496382
58,chokurdakh,70.6333,147.9167,-15.32,86,98,20.56,RU,1612496383
59,chuy,-33.6971,-53.4616,64.85,78,89,13.65,UY,1612496242
60,puerto colombia,10.9878,-74.9547,78.8,83,20,8.05,CO,1612496298
61,saraland,30.8207,-88.0706,62.01,88,92,8.99,US,1612496383
62,hilo,19.7297,-155.09,71.6,73,75,16.11,US,1612496135
63,tasiilaq,65.6145,-37.6368,26.6,80,75,11.5,GL,1612496310
64,fortuna,40.5982,-124.1573,48.0,87,1,4.54,US,1612496287
65,ribeira grande,38.5167,-28.7,55.58,68,56,18.32,PT,1612496174
66,te anau,-45.4167,167.7167,75.72,39,61,2.55,NZ,1612496385
67,altay,47.8667,88.1167,21.52,90,84,0.6,CN,1612496385
68,krasnoselkup,65.7,82.4667,-27.27,85,14,5.95,RU,1612496153
69,quatre cocos,-20.2078,57.7625,80.01,83,40,2.3,MU,1612496279
70,altamira,-3.2033,-52.2064,73.71,88,12,3.56,BR,1612496385
71,coquimbo,-29.9533,-71.3436,60.8,82,90,6.91,CL,1612496250
72,aguie,13.506,7.7786,63.59,27,0,10.58,NE,1612496386
73,belozerskoye,55.8214,65.5842,30.88,99,100,5.46,RU,1612496386
74,saldanha,-33.0117,17.9442,59.0,82,0,3.44,ZA,1612496386
75,dikson,73.5069,80.5464,-14.57,88,98,10.04,RU,1612496386
76,bukama,-9.2,25.85,68.5,89,100,2.55,CD,1612496387
77,sakakah,29.9697,40.2064,51.8,87,40,6.91,SA,1612496387
78,takoradi,4.8845,-1.7554,78.67,89,0,7.11,GH,1612496132
79,cape town,-33.9258,18.4232,66.99,88,0,10.36,ZA,1612496228
80,ushuaia,-54.8,-68.3,44.6,81,40,29.93,AR,1612496157
81,avarua,-21.2078,-159.775,84.2,65,20,3.44,CK,1612496388
82,yellowknife,62.456,-114.3525,-31.0,75,1,6.91,CA,1612496138
83,georgetown,5.4112,100.3354,86.0,54,20,3.44,MY,1612496287
84,amapa,1.0,-52.0,69.89,98,100,1.81,BR,1612496388
85,karratha,-20.7377,116.8463,85.89,67,26,15.61,AU,1612496333
86,namibe,-15.1961,12.1522,69.62,77,20,8.93,AO,1612496389
87,new norfolk,-42.7826,147.0587,79.0,70,100,1.01,AU,1612496137
88,nome,64.5011,-165.4064,10.0,72,90,17.27,US,1612496328
89,nanortalik,60.1432,-45.2371,21.38,79,100,8.3,GL,1612496138
90,albany,42.6001,-73.9662,26.01,63,18,2.82,US,1612496389
91,lithakia,37.7167,20.8333,50.0,93,40,1.61,GR,1612496390
92,wundanyi,-3.4019,38.364,60.44,100,39,3.47,KE,1612496390
